"","Lag3_recruits","ReproductiveFemales","logRS","Ovig_female_CO","Pcod_lag1","PCod_RA2","PCod_RA3","FHS_lag2","FHS_RA2","NBT_3RA","SE.wind","AO_jfm","AO_RA2","AO_RA3","PDO_djf","PDO_RA2","PDO_RA3","SST_May_July","NE.wind"
"1",19167989.04,53931804.6,-1.034478721,NA,458484,318043.5,396967.6667,NA,NA,3.706085706,0.18344086,-0.951666667,-1.099333334,-1.336888889,0.433333333,-0.146666667,0.341111111,0.129984182,1.211743808
"2",22613332.13,20618114.46,0.092369618,NA,554816,506650,538369.3333,NA,NA,3.823065014,0.084946237,-1.247,-1.3625,-1.225555556,-0.726666667,-0.246666667,-0.02,0.680848366,-1.618528231
"3",130289195.5,33569855.1,1.356128066,4560005526,601808,578312,550422.6667,NA,NA,2.856510292,0.175698925,-1.478,-1.087,-1.140333333,0.233333333,0.57,0.137777778,-0.616682498,0.035001145
"4",94840817.64,37120990.42,0.938017293,1787395006,494644,548226,491012.6667,192037,NA,2.945105378,0.210322581,-0.696,-0.1545,-0.595666667,0.906666667,0.538333334,0.436666667,1.116650852,-1.521904054
"5",52799448.42,97672490.8,-0.615119207,1406155247,533663,455124.5,439251,270794,261703,2.51248523,0.149892473,-0.339,-0.4675,-0.182666667,0.51,0.983333334,0.712222222,0.821465672,-3.605486878
"6",103046586.7,28802030.34,1.274735301,593566870.1,407504,470583.5,500499,252046,261420,2.112900158,0.175053763,-0.596,-0.9145,-0.722666667,1.456666667,1.033333334,0.858888889,0.20566314,-3.380612603
"7",144336668.5,12768766.69,2.42514646,100630718.6,560330,483917,484844,344002,298024,2.416149961,0.137849462,-1.233,-0.872833334,-0.780555556,0.61,0.778333334,1.004444445,-0.935324469,0.404144872
"8",264722527.8,2782498.779,4.555332847,250971507.1,486698,523514,475315,379394,361698,2.355152415,0.110537634,-0.512666667,-0.984666667,-1.067444445,0.946666667,1.246666667,1.034444445,-0.655077584,-1.112155399
"9",124184573.3,5789072.202,3.065796916,2011071137,378917,432807.5,368582.3333,538770,459082,2.719744472,0.249247312,-1.456666667,-0.895333334,-0.767777778,1.546666667,1.046666667,1.013333334,0.095416264,0.417902334
"10",100296383.4,14839815.29,1.910815846,2775774868,240132,309524.5,284057.6667,502310,520540,2.372839243,0.170107527,-0.334,1.153,0.283111111,0.546666667,-0.198333333,0.383333334,-0.205941767,-1.329813665
"11",52395965.68,39904268.99,0.272346287,4298665307,233124,236628,271554.6667,574174,538242,2.489765211,0.124516129,2.64,2.551666667,1.589777778,-0.943333333,-0.771666667,-0.332222222,-0.210756558,-1.197604992
"12",26636714.61,115592441.3,-1.467780054,2780965935,341408,287266,330350,518380,546277,2.071847916,0.164301075,2.463333333,1.118333333,1.625555555,-0.6,-1.151666667,-1.082222222,-0.094089924,-0.602426603
"13",39356821.44,134596978.8,-1.229615658,3118331402,416518,378963,383659.6667,603140,560760,2.319972262,0.215698925,-0.226666667,0.329,1.040444444,-1.703333333,-0.845,-0.763333333,-0.232731878,-2.266925347
"14",20320075.22,87898910.38,-1.464578084,1773777227,393053,404785.5,456252,585400,594270,2.028978953,0.163010753,0.884666667,1.183833334,0.713666667,0.013333333,0.018333333,-0.555555556,-0.090756544,-2.539853068
"15",27444367.01,36240341.97,-0.27801198,2282769543,559185,476119,471558.3333,664396,624898,1.993546703,0.144946237,1.483,0.863166667,0.870333333,0.023333333,0.32,0.217777778,0.299366861,-2.405812267
"16",59570127.94,33794296.14,0.566862204,2184469427,462437,510811,462676,578945,621670.5,2.140138046,0.190107527,0.243333333,0.399833333,0.760888889,0.616666667,-0.201666667,-0.126666667,-0.019028166,-1.181659275
"17",64347673.11,33279345.05,0.659363838,3039602226,366406,414421.5,371879.6667,604427,591686,2.478342475,0.202580645,0.556333333,-0.141333334,-0.013111111,-1.02,-0.1,0.138888889,-0.391620748,-3.142392458
