,ReproductiveFemales,logRS,Ovig_female_CO,PCod_RA2,PCod_RA3,FHS_lag2,FHS_RA2,NBT_3RA,SE.wind,AO_RA3,PDO_RA3,SST_May_July,NE.wind
ReproductiveFemales,1.00,-0.80,-0.23,0.08,0.08,-0.12,-0.12,0.11,0.50,0.06,-0.02,-0.17,0.01
logRS,-0.80,1.00,-0.06,-0.06,-0.10,-0.18,-0.04,0.04,-0.32,0.32,0.27,0.12,0.16
Ovig_female_CO,-0.23,-0.06,1.00,0.46,0.55,0.02,0.06,-0.12,-0.20,-0.38,-0.38,-0.30,0.01
PCod_RA2,0.08,-0.06,0.46,1.00,0.93,-0.50,-0.60,0.09,-0.08,-0.03,-0.41,-0.57,0.16
PCod_RA3,0.08,-0.10,0.55,0.93,1.00,-0.51,-0.57,-0.16,-0.06,-0.09,-0.61,-0.73,0.13
FHS_lag2,-0.12,-0.18,0.02,-0.50,-0.51,1.00,0.83,0.19,-0.22,-0.07,0.30,0.63,-0.12
FHS_RA2,-0.12,-0.04,0.06,-0.60,-0.57,0.83,1.00,0.02,-0.15,-0.14,0.41,0.61,-0.06
NBT_3RA,0.11,0.04,-0.12,0.09,-0.16,0.19,0.02,1.00,-0.04,0.42,0.58,0.57,0.19
SE.wind,0.50,-0.32,-0.20,-0.08,-0.06,-0.22,-0.15,-0.04,1.00,0.40,-0.01,-0.23,0.41
AO_RA3,0.06,0.32,-0.38,-0.03,-0.09,-0.07,-0.14,0.42,0.40,1.00,0.35,0.16,0.45
PDO_RA3,-0.02,0.27,-0.38,-0.41,-0.61,0.30,0.41,0.58,-0.01,0.35,1.00,0.68,0.14
SST_May_July,-0.17,0.12,-0.30,-0.57,-0.73,0.63,0.61,0.57,-0.23,0.16,0.68,1.00,-0.20
NE.wind,0.01,0.16,0.01,0.16,0.13,-0.12,-0.06,0.19,0.41,0.45,0.14,-0.20,1.00
