"SURVEY_YEAR","NUM_MALE_LE30","CV_NUM_MALE_LE30","CI_NUM_MALE_LE30","NUM_MALE_LE40","CV_NUM_MALE_LE40","CI_NUM_MALE_LE40","NUM_MALE_LE50","CV_NUM_MALE_LE50","CI_NUM_MALE_LE50","NUM_MALE_LE60","CV_NUM_MALE_LE60","CI_NUM_MALE_LE60","NUM_MALE_30TO40","CV_NUM_MALE_30TO40","CI_NUM_MALE_30TO40","NUM_MALE_40TO50","CV_NUM_MALE_40TO50","CI_NUM_MALE_40TO50","NUM_MALE_50TO60","CV_NUM_MALE_50TO60","CI_NUM_MALE_50TO60","NUM_MALE_30TO50","CV_NUM_MALE_30TO50","CI_NUM_MALE_30TO50","NUM_MALE_30TO60","CV_NUM_MALE_30TO60","CI_NUM_MALE_30TO60","NUM_MALE_LE103","CV_NUM_MALE_LE103","CI_NUM_MALE_LE103","NUM_FEMALE_LE30","CV_NUM_FEMALE_LE30","CI_NUM_FEMALE_LE30","NUM_FEMALE_LE40","CV_NUM_FEMALE_LE40","CI_NUM_FEMALE_LE40","NUM_FEMALE_LE50","CV_NUM_FEMALE_LE50","CI_NUM_FEMALE_LE50","NUM_FEMALE_LE60","CV_NUM_FEMALE_LE60","CI_NUM_FEMALE_LE60","NUM_FEMALE_30TO40","CV_NUM_FEMALE_30TO40","CI_NUM_FEMALE_30TO40","NUM_FEMALE_40TO50","CV_NUM_FEMALE_40TO50","CI_NUM_FEMALE_40TO50","NUM_FEMALE_50TO60","CV_NUM_FEMALE_50TO60","CI_NUM_FEMALE_50TO60","NUM_FEMALE_30TO50","CV_NUM_FEMALE_30TO50","CI_NUM_FEMALE_30TO50","NUM_FEMALE_30TO60","CV_NUM_FEMALE_30TO60","CI_NUM_FEMALE_30TO60","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE"
1975,5161278.26949395388697975239176941712574,0.5481612193537415292986287868163003130392,5545256.67567435849824623450846636628821,8453931.30110744982479647148158262816494,0.4019516078951042413059827601671634933692,6660219.70784918459615580770805261727937,15297247.30702643400552227572799885850249,0.327278105446191153450348284490235517906,9812650.06968350341647360727185950479727,35194221.57502063987532670872203554029099,0.391796966286426135273521442241482645495,27026418.91805453100204055195290216986839,3292653.0316134959378167190898132110392,0.3191159494409641481442353829159370798141,2059446.67279149900538305307860384397523,6843316.00591898418072580424641623033748,0.3916763188732132095714855136893936352677,5253515.05128559621314083482822556497827,19896974.2679942058698044329940366817886,0.5986695402408231065774126539440732419277,23346956.37691901504668263808899553453081,10135969.03753248011854252333622944137669,0.2885866664429183114519140794163968937624,5733206.81079186184650231119804375069018,30032943.30552668598834695633026612316517,0.4391892263231328244475627313472725260648,25852684.4637391220151767873639953195515,200379392.555192483915181921382384504931,0.1901520288155078726076501276112305663935,74680994.1332902927724978037731821908567,746458.0212295074844461475575598064610872,0.7220095193206038580977375885160187952741,1056341.60231781458557345013905446353131,1635385.14785043259137864353082275494079,0.4439816736306370721445763480963258866258,1423118.8285477109576397493962236830657,5182285.26879812647147128992930162065191,0.3069887964160452442878317992550127710248,3118170.89401175917219173457333253652875,22176868.39435595135715619885851502287015,0.3493444588484971089108067907685689233994,15184837.53283401285436327189283765407978,888927.126620925106932495973262948479704,0.3843479779884846517873994188105267238567,669648.3936438978146029334519726366857565,3546900.12094769388009264639847886571114,0.3746577744223552081924626766823301802959,2604592.46260878517719654949652617714852,16994583.12555782488568490892921340221827,0.3871025132641032139450191911869224471587,12894145.84596713902382922719861197224133,4435827.24756861898702514237174181419085,0.3208018421569961036511634204455374852673,2789122.24292001275007268413961798425102,21430410.37312644387271005130095521640903,0.3605468754116565817204664782588170784139,15144268.29768777388258366785500407805219,98726976.04829188662272909199501654751016,0.2521474769719054574475051956885224344232,48791765.52249937867797370651791580522284
1976,17013043.56200487321076165731744066021471,0.4625869390883442588776917815694945005028,15425223.02201201162372154417628879205975,42690257.139986476781048472112169679142,0.4069183238623912262104013094351526961033,34048037.8460892420901614011895795487897,79350246.34787928538604846657307961630701,0.4089786995537589767031271676341092500481,63607018.69882712221935786278838662458037,90681880.73159199640874227437592535071606,0.4080253732024858263760131119183312685544,72520996.12729382024048801792604627660285,25677213.57798160357028681479472901892733,0.3987423918635492716668918583991592619591,20067643.37461215374484982071885419793379,36659989.20789280860499999446090993716506,0.5655436275641138869350136288393985963698,40636333.63486221142498719892187714251848,11331634.38371271102269380780284573440889,0.4813153232195916603380479513516532539309,10690014.96136572683336316610043335221158,62337202.78587441217528680925563895609239,0.4298326993134910266054628637092599311289,52517353.55656554786050141165494331351251,73668837.16958712319798061705848469050135,0.4303613553648333700702920207386422764608,62140272.40041126935699887204348996841101,196955665.696167608893272067240564762804,0.2436584463350550546398665769622574577909,94060226.5408128101770651229374319406407,19992135.29516470061261143957892096324703,0.4942959695739931470313369607522746416321,19368782.52317265530139289585661651291467,45333561.14105073996916709371126161896827,0.3828461136102031263142109881863019859614,34017324.28996513048566210821867987027703,91099232.96590441149030752992697482424141,0.4229649235727990451494130494414323094856,75522289.0135701743886215478758978553202,108461035.486926429922871678381115240162,0.432130242875880010333995045002653157756,91863815.47076851940850734872665891208468,25341425.84588603935655565413234065572124,0.3288953319406393364985470034014029985801,16335966.26424630035626735546255951229807,45765671.82485367152114043621571320527314,0.515506640010863523466657330771038249208,46241315.11212951584883232540411579810934,17361802.52102201843256414845414041592069,0.6210995498379621034671500380652410047177,21135479.15115744760694303066405427995641,71107097.67073971087769609034805386099434,0.4333060136390837454991267031837373642619,60389820.74498027433666454078676921165716,88468900.19176172931026023880219427691533,0.4519172803776611851582337820917805376077,78362024.55442086927554841507826811730501,147038080.435905917294633185105902947683,0.3327355651005708781056336774541376735669,95892605.61888292706286664067568493046695
1977,1959508.668502091075291043846984400969,0.484950678891960544065242088169071711803,1862519.51580615062969813507703504607794,11960525.46634339533164812223381254238452,0.4863180773225074731184763329689003419062,11400574.70717565388592867299451632972705,60396933.34840203080453903810730853818584,0.4763455127449251693663316458401058308129,56388824.0407686456764189595426685454398,108648856.406707192160141464765678231973,0.4292233887740604205809348640924195970543,91403875.45329376700036240028679083838361,10001016.79784130425635707838682814141556,0.5544923413131727222655190117129585751809,10869154.95070489263122353737779122923769,48436407.88205863547289091587349599580139,0.4893409838058453349727835610845200330253,46455762.19065443719785649033514058593922,48251923.05830516135560242665836969378678,0.5110253070371392467439756524158465931177,48329589.4401655155532193802457785429513,58437424.67989993972924799426032413721683,0.4906049466072427063346091326947629656123,56192591.64529627117503184064658681771638,106689347.738205101084850420918693831004,0.4365521299132986369374855621745104218829,91287905.50858105446931542438204111817172,227401453.495385855875477078118383247302,0.3396181085110106017156558012207885821481,151370116.957164669980800828203314492598,2002177.7131190651204653155576499337021,0.5295440759225740601734681429116199833632,2078073.03997575953508280246293644540632,28133783.79225511351744076352887615069634,0.7511247517272400530318875538247146189743,41418683.47756672568121012210550847055426,84900219.79908268167130066142023541792217,0.6866734889705233701182491113895172967911,114265511.081848806866950573998991565764,187236532.029989213446477646521882751264,0.618031671375159879821706651760868062408,226807489.392646465483696015689117205234,26131606.07913604839697544797122621699422,0.8056480363584133707889236784634373297695,41263639.16411316857408036922619072545251,56766436.00682756815385989789135926722591,0.6604795089230216672353162920289600156241,73486412.84311523023180838341466705765555,102336312.230906531775176985101647333341,0.5815943837927011686426057141159231605502,116655719.925041042269797565776107453929,82898042.08596361655083534586258548422003,0.7027986803732210942373204842980257547869,114190843.783736389466119720137010968656,185234354.316870148326012330964232817562,0.6246909772105811413047445080996433342551,226799890.429906218870378782189074031029,274612638.835503134613940047777801579636,0.5946461403090706423766232191560545892978,320062797.696696647745588506864796875716
1978,1731644.02465474366529960430151803640145,0.2875915981231979714590192194181506175857,976092.293964650553816553801539235524736,12065174.40284949981671344989814327484428,0.2755534133532688721855486305333765941145,6516215.97923902762155552273065314577903,49743108.32245986194561626693752076258176,0.2623601449536159266836898104674745993133,25579193.85545101678051058709680940954866,76710459.36787181835507710252016921635079,0.2135696498843120048363469994637277425284,32110730.86133580742766665765224412015899,10333530.37819475615141384559662523844282,0.2958358632783992755913524728777570377321,5991776.60508774650184870755871796320194,37677933.91961036212890281703937748773748,0.2869321447687392279201370501969418074215,21189580.36441691613524941701606476546814,26967351.04541195640946083558264845376888,0.224560965935265479172597022061885586054,11869396.22296727649264464566960180810775,48011464.29780511828031666263600272618036,0.2685717706357057090125270344356886169134,25273266.99545799978018887340799911907804,74978815.34321707468977749821865117994929,0.2160712321330499286568394921235421430288,31753499.42956727071953740718730604016353,178638780.665014221497083506206884867422,0.1750920058696830343870039051388833910424,61305315.96819331283782962999964660530953,2004232.91082431587959155045895742605146,0.3381051680778424846579057730865173879126,1328177.35015554166478951793212665721316,13230993.94530794224454952347267182800278,0.2935630823257136617782267560500333163605,7612897.47504221072450831578296490605764,74150428.52588082358855587481296423928499,0.3734303454718730991739009243264755601874,54272439.47696193539447199385390464176678,106222369.639664608580970142075341565013,0.3359213852275158515307597291052460055561,69937436.48095050389516414385347136380525,11226761.03448362636495797301371440195134,0.3238477953950901980364308759679959983043,7126093.14847224822054195961703077485307,60919434.58057288134400635134029241128216,0.4134740909935174693169635854625823990062,49369671.36060119548744009860812385507813,32071941.11378378499241426726237732572801,0.3011767636392600093279061209770917673755,18932273.91942551586607098210885282497604,72146195.6150565077089643243540068132335,0.3814083242518615867429127319356174619746,53933632.7585439858682580603431164676156,104218136.728840292701378591616384138962,0.340930923899544609354736100989596417884,69641123.85842306621132079313024862530846,153198693.763636477209215617032115122682,0.2711009011018080167328768759301784695838,81403315.69680589896461390402320346903726
1979,883034.5350554697189503669949846775354,0.7150625729288910515636039422780621024572,1237592.89537878918676142304209666503115,2329475.56367615298780236337704732023881,0.3802472481823469620264227415582756172013,1736122.27867992230882032438707403272985,6382139.00127147946251200994886673609304,0.2156261192769087811856086949894733044685,2697265.4964387520076142322703048897314,32837795.01938413531073744982179305419005,0.2839288274403936859551409247617658661492,18274249.40574020528128930813712406881754,1446441.02862068326885199638206264270341,0.4287624335256334728619896764109512180831,1215551.96775014024273309353751494844327,4052663.43759532647470964657181941585425,0.2277698134003302639301948414217337509501,1809225.81411263986864625224812801960337,26455656.01811265584822543987292631809688,0.3238247871421760067789220614147287577814,16791314.47039303856479872826286069599329,5499104.46621600974356164295388205855766,0.2227558984621148685032672603983534303605,2400917.59397359266540213049063242972906,31954760.48432866559178708282680837665462,0.2913239297117820900365261543769270464738,18246005.33869505614369001181555507851021,145838540.840663734373755629356828032655,0.272059967051393355556279960263104469001,77766584.08723114923750585887255100174405,116038.6868416080719114517331979799799902,0.5854410612558954634393764843644394792685,133150.2714637314225399797694201383356438,2485961.28495010405242823041658504007791,0.460777085827754171480271336478757662093,2245129.03286545915338172372467854213298,8064614.38861187274793839971261043365941,0.3886153110912595194136947749117139228106,6142703.95374444321440422673485923641681,21576212.67034495858041872295670977746268,0.2788434019561458848186665299203782658391,11792113.70296344261504195403656600225791,2369922.59810849598051677868338706009792,0.4818071878051124571330470433096672173407,2238017.65492846274368964930389798714655,5578653.10366176869551016929602539358147,0.3749967191086637750603185586309752537269,4100274.15740031419899618492453662999681,13511598.28173308583248032324409934380334,0.2595037714653380740316961551883233432418,6872368.99676326192859365615199238045426,7948575.70177026467602694797941245367941,0.3939781390134388166189159510869710994659,6137867.52307013917431894539534700991716,21460173.98350335050850727122351179748263,0.280331631174312649019162454022672776826,11791292.53303688059028256313878504658756,56681910.16773930524104307715200192105223,0.2293104654123007194968593972676822967146,25475600.19400414003930295032888074516979
1980,2815910.59865635353141743307108596082492,0.5024302697409402126767824931126641348753,2773005.49443259691674495447669317219011,5451906.93816498649774744476182550600535,0.4008267521914670129401029191430926625596,4283129.49649860156001591847256707213072,15447439.50431651925949552091319220436727,0.3250187717255525779212040510405273266054,9840587.31543555832514121216600747613275,79920398.72326503515907369219102091083992,0.3337544911716125183680685097471899128877,52280632.33982679662052711121676339692622,2635996.33950863296633001169073954518043,0.5213125917090015061420154211266355355413,2693389.04362998552714626974350777220226,9995532.56615153276174807615136669836194,0.3442763311810876277560471287573543821426,6744801.54894843426881509537831754596457,64472959.21894851589957817127782870647259,0.3480981744189667403456005943065808578194,43988122.03086876149213962238829168653439,12631528.90566016572807808784210624354235,0.3645519643882059667113409827685084381157,9025503.40453824528429680077370768419993,77104488.12460868162765625911993495001502,0.3438962378590175419374205355287036010953,51971249.04067251231803575275986907342004,507136323.174736067780851433472450390122,0.1993579312065188959788484029839094926657,198159230.526480096332703125015244385096,4910443.30111118726913538897899009347571,0.6690684405109762942123756871762449013831,6439428.37771638360915410618516061210932,6995132.54889645476578171261441600363751,0.5078255512733846794174172299705014142178,6962521.80403252775937446130886082243179,17853619.95875943235667828622271240923589,0.3249392472239471314939525500579234112743,11370629.98605858684212071081470636595136,54248349.52496487389765394892482956415761,0.2710196726759484645946568362670702314048,28816645.06567419202677733283188511958261,2084689.24778526749664632363542591016182,0.5426698068207896837544844808696096482451,2217343.90629893660213925148902883273344,10858487.40986297759089657360829640559837,0.3247070093450114923256883741064167253451,6910620.86681945229813913007459187765135,36394729.56620544154097566270211715492164,0.27716834742007511903776951683712074015,19771435.41538479091240953405523176460047,12943176.65764824508754289724372231576014,0.3429394181184469202074832350214353556852,8699901.92429318151041255727963848494416,49337906.22385368662851855994583947068196,0.2757772724627533063585904653791301535942,26668295.48657744170853003240244079563261,174778431.078224427807973763699200931735,0.2239276892481357274604942671875970023115,76709951.19545224106547651782207327347974
1981,3285862.78685273371343444105287530829462,0.3108456163657222616745196241736556380642,2001936.24481395864949697944557882103065,8818423.40564501168571460526583237855617,0.259708311267077132487137744805331275666,4488826.98740754084995029107929276502514,13073350.28986549758171282690908635923211,0.2690764941265298145455592990537068014109,6894753.27447071840069641933620076779402,18676216.46114867433535977982667396756034,0.238721476626572965379412437482983511292,8738491.38394972422490384818670256232506,5532560.61879227797228016421295707026153,0.3037182561154699663874985345525831099691,3293465.73946572351816590488760882666472,4254926.88422048589599822164325398067594,0.3634857604330586142863432683397049876064,3031346.45483197820513899557886672973763,5602866.17128317675364695291758760832831,0.3041178671717599673803505489614008653456,3339706.15171651117711356105429661077945,9787487.50301276386827838585621105093751,0.3041628776790059560144663879795004218193,5834901.11376079464032565307893047978196,15390353.67429594062192533877379865926576,0.2586070740416206272875882892214990927833,7800906.49106374164129514130848161965257,181389075.591980711549568519091956952157,0.1796829866700207757836235698451254977103,63881360.46929527166279105066742568197119,2192548.50538377982412621098964686813616,0.3227736236206553470309588599547104118891,1387085.77905167816260705193615784833364,6392533.99610961251861455854833119365662,0.2870528890793210404656188953157182204048,3596590.89015724130456737547672601097822,11573050.03997156816268801958227558038188,0.3338976983613609668499681689906919068069,7573860.95188003176776486341856895422284,14707435.6265743429263852740290030790173,0.3249236207049204641832599002765552271489,9366434.74073930906112168510983199411838,4199985.49072583269448834755868432552045,0.3256804440685529453707234841431686269617,2680992.15381409416222391169163162144284,5180516.0438619556440734610339443867253,0.4421376064235228477286453959935203671259,4489381.88879669462227639210082634407227,3134385.58660277476369725444672749863538,0.3445052793242186555626980465569905683388,2116432.26876389197156845874860714582789,9380501.53458778833856180859262871224579,0.3492037006807663136976143825391194767817,6420383.46623453970143840814783661653836,12514887.12119056310225906303935621088111,0.3341256626725806771195444632930948908627,8195828.10717507106233059320686209072408,26406963.13254248640739249772875783158922,0.2429692853145436137387947791156767682928,12575518.68089704554156268738814606960495
1982,4561163.10095110784821716949683838689076,0.1875269897945986680988841810829374082849,1676468.72511577449533640458152400813678,9190667.87338428647895230284076038494608,0.1880409025280524637321200824598419774643,3387314.10422364535858511187904305207265,14421155.95884642818257947142556127404858,0.1734775938002628590004871551152080125325,4903424.97369564179434002684534725229003,17448676.64525173829890564942741077075481,0.1742655168629951169003755395204860195635,5959777.20215372909693199798232578389,4629504.77243317863073513334392199805535,0.2117757021787132757761792839561456762467,1921616.58288661160680790800569744232501,5230488.08546214170362716858480088910254,0.2220547609076795710596617400589824119196,2276451.37124561459198254556927079234748,3027520.68640531011632617800184949670616,0.2676920057528499822357279102368946173241,1588468.44660408190122276165482820367411,9859992.85789532033436230192872288715781,0.1863334802978739274171761208698739469649,3601003.6984506780085860307129662416295,12887513.54430063045068847993057238386402,0.187918637743423156751893088952758130984,4746735.81872398360486882235146690622059,96313455.2572168085146696314583164811894,0.1454119562188716613869066515790354579976,27450050.76073530380818197049705105861009,4369389.23377492704970945560361919745746,0.2277100772800561926618418687686216108313,1950109.7617754869383656482450691852646,10704223.68570593067915275918382766504207,0.2038957309522353562200668644361575173993,4277789.20483955344892251467643883164202,17122728.50816483771979257800475276732421,0.1866587452256890924464824191602594846639,6264369.75562140048147594152472018634636,20759606.32620545998321505848355843202876,0.1850224792504422953049942990083479867493,7528347.9082458926416897392940851940301,6334834.45193100362944330358020846758463,0.2096082071993581686164909495724681476477,2602553.25305301325247529183548428435757,6418504.8224589070406398188209251022822,0.2148331029373495847581888047320326816796,2702658.32216529063045433917779876237428,3636877.8180406222634224804788056647045,0.2961707769536636171580705125896698227686,2111188.38094708646277475523045152715935,12753339.2743899106700831224011335698667,0.1868055479407256440080020502436063350657,4669493.28120371196607165665897208352428,16390217.09243053293350560287993923457124,0.1884826347767302620137944377892845817437,6054971.75220205561495494864261574920245,30187422.29326218145554086784541849601195,0.1691549655961167416676246273221894489177,10008450.66372633523920986880598570350806
1983,36923936.67999546894067943404718008654343,0.3075864669215971916854355333287811226937,22260314.32734368805395279735125146235609,75057962.51012873212085008217776832802104,0.2719261748784244546748700948998898459648,40004040.29351308463371827372914378988153,96990506.73447318207703956560485968605355,0.2832191505040351306826654021396443307529,53840355.09161505040258331838540548343775,106458170.822677617308853458122301375281,0.274573848152335991201429803645301438087,57292034.07488100684258497295186959795856,38134025.83013326318017064813058824147764,0.2845576421868982956787052863891891027083,21268603.81554131676861544795712978618099,21932544.22434444995618948342709135803248,0.3644421363365413621474398749961234145874,15666560.81393489518678135024677035957128,9467664.08820443523181389251744168922743,0.266418892436945458008473727012704486359,4943834.5774751587014635128454379224152,60066570.05447771313636013155767959951008,0.3019263707848229023460511826797927725384,35545935.74399992491388866275525773039458,69534234.14268214836817402407512128873745,0.2887885342255762600857195050789784263144,39358151.53086386600445105023974062749965,142631023.869554836729026389504346399204,0.2191778074818437565293656334372111196663,61272647.97761432097811607329844528478417,38769328.05614617676277443436476011214422,0.3187294700442492377808529172891891111202,24219577.67520194418065600255803272972032,87612595.38841598411640400781565683840462,0.2755550239361509044667115339917017174145,47318498.0059520108705178088205461906815,108991953.547084831938005351958102197151,0.2858296572311510841524567281039512610332,61060140.13770092621452932814507666000124,119617622.276948770916500129581612805138,0.2767311315023747464532659032195224859608,64879763.1222344544843150086358846107685,48843267.33226980735362957345089672626026,0.2889370322349265357123257863169365415517,27660752.26698062407253289696293123648016,21379358.1586688478216013441424453587463,0.398985883814517852225631170552335869876,16718921.73623428195442919842202329368743,10625668.72986393897849477762351060798688,0.2939844182971668572368958825629070770777,6122610.83951219396845768223545101012617,70222625.49093865517523091759334208500664,0.2966466611628130368926345229503509253732,40829362.48434824958750028973049373502896,80848294.22080259415372569521685269299363,0.2850674239429817229118710762221238920307,45172541.32886856648043406863455657836714,126639762.674964885680803299291416726622,0.2653641702064306358814022707190621021753,65867084.85326747227320048850557014522698
1984,5849886.24087055120366237000875619654216,0.2655252707232514574823442957087574796813,3044453.55050245871070495573534428781682,24321020.04433306371924890649102932773659,0.218527708961729826160345984385849323815,10417040.90820480983762972728509425888729,50940019.62789695677874313139317639220033,0.2531229499611374124726491215552340973432,25272412.55701137728787072934365382476315,60426727.91524555860191837598845601198046,0.2354416363051454549030256884443681971073,27884856.68598520107245826442637840890286,18471133.80346251251558653648227313119427,0.250563558287815749823192826024976224997,9071258.30235560923925584022483475876444,26618999.58356389305949422490214706446363,0.3132525112418734731631676891803216830574,16343398.193943636474006000984372100245,9486708.28734860182317524459527961978018,0.231620104917435593817299384731505849411,4306732.24292010622344665506140902775678,45090133.3870264055750807613844201956581,0.2788279015336722350282209538249598619592,24641879.05346877329848093188201835738584,54576841.67437500739825600597969981543828,0.255325682432385445544914992468736006039,27312343.91720754327538641726506738276514,92014781.63958192172365734434154270179244,0.1774662685740233430088630556960965437172,32005859.10441110829143596978456484019506,8226399.04229024574795372746293656802988,0.2628910042194105702526525202406960932243,4238786.75846106893539888491827279420458,23755176.47089247027173794458712249643056,0.1763422699134942773873206434591333696699,8210521.81250270451735024868206382470995,57977083.29886756448683079534449677802533,0.2094488294151867815368695039093918715967,23800735.17051499057017699763885774073785,70067122.58313889248161956187700742389468,0.207851752852317884788620642227533745049,28544605.52259834650286316820990459515079,15528777.42860222452378421712418592840074,0.1657592533927056959246510483696695415182,5045115.56322654563959164461209540567388,34221906.82797509421509285075737428159483,0.3036329541524749840260958221786416869329,20366161.3871413114881141915676573205647,12090039.28427132799478876653251064586935,0.2669799663011059938481601317629613859074,6326484.6301598612832676449563683728641,49750684.25657731873887706788156020999541,0.2341936112838551906655449268244682146251,22836533.12338573817343342474377637401043,61840723.54084864673366583441407085586481,0.2290341018838028401693848324390730160884,27760723.76900471482307728235907211473376,78524434.61736279368765022669484431141739,0.1967320956714810834826162463897346616355,30278622.10403627729934363056143277951528
