,releaseyear,Lag4_recruits,SC2ReproductiveFemales,SC2RepFem_SameYear,SC3ReproductiveFemales,SC3_SC4_ReproductiveFemales,SC2_SC3_SC4_females,OvigReproductiveFemales,SC3logRS,SC2logRS,OviglogRS,SC3_SC4_logRS,SC2_SC3_SC4_logRS,Ovig_female_CO,Pcod_lag1,PCod_RA2,PCod_RA3,FHS_lag2,FHS_RA2,NBT_3RA,NBT_3yr_minTemp,AO_jfm,AO_RA2,AO_RA3,PDO_djf,PDO_RA2,PDO_RA3,SST_May_July,SE.wind,NW.wind,Era,Era_AICc
20,1998,158190576.2,3838117.328,3207261.554,3965749.528,7073452.915,10911570.24,11508507.32,3.686105611,3.718818517,2.620713956,3.107451734,2.673976768,1187036358,384356,409096.5,387064,387995,531880.5,2.047618481,0.859681698,-0.839,-0.569166667,-0.099111111,1.186666667,0.105,0.147777778,0.061836053,0.208817204,0.143655914,1,2
21,1999,123131707.2,3207261.554,7369333.154,5561468.197,11355299.48,14562561.03,19776547.52,3.097392435,3.647837098,1.828757806,2.383570023,2.134800651,419783263.5,342999,363677.5,388658,384592,386293.5,1.826843349,2.169459459,-0.299333333,0.166833334,-0.168444444,-0.976666667,-1.388333334,-0.53,-0.80458373,0.177204301,0.183010753,1,2
22,2000,200375508.6,7369333.154,5507592.562,7626464.32,14240433.17,21609766.32,20470089.49,3.268568803,3.302865928,2.281228378,2.644107824,2.227047792,1526574891,438619,390809,410609.3333,503943,444267.5,2.568227988,2.451388889,0.633,-0.228666667,-0.252222222,-1.8,-0.821666667,-0.873333333,0.216774294,0.14344086,0.144086022,1,2
23,2001,205926063.2,5507592.562,8375432.191,10620355.73,16336903.61,21844496.17,26186410.22,2.964744676,3.621389582,2.062276606,2.534090614,2.24356819,1179455854,450210,444414.5,409688.6667,548401,526172,3.072958577,3.083835616,-1.090333333,0.051833334,0.245555556,0.156666667,-0.43,-0.886666667,0.243194062,0.235268817,0.091827957,1,2
24,2002,82911912.24,8375432.191,10133796.85,11577998.13,13930597.54,22306029.73,28163773.77,1.968672162,2.292476065,1.079742212,1.783691063,1.312921713,481671711.2,340237,395223.5,365599.6667,509156,528778.5,3.331876306,3.228142077,1.194,0.695166667,0.1,-1.016666667,0.2,0.185555556,0.919119968,0.176989247,0.143655914,1,2
25,2003,88560412.32,10133796.85,24146185.86,28529912.06,31857574.7,41991371.55,58598940.49,1.132731861,2.167808884,0.412968328,1.022409766,0.746220786,650402045.6,306352,323294.5,306639,604186,556671,3.38996193,1.8545,0.196333333,-0.3855,0.141,1.416666667,0.481666667,-0.017777778,1.276033572,0.183655914,0.176989247,1,2
26,2004,39551721.32,24146185.86,9745845.992,17027933.5,20812285.13,44958470.99,31353367.7,0.842754073,0.493482784,0.232287532,0.642065772,-0.128129981,807574470.8,273328,289840,270250.6667,605350,604768,2.780244854,1.714496314,-0.967333333,-0.861,-0.508555556,-0.453333333,-0.36,0.232222222,0.90714469,0.190322581,0.228172043,1,2
27,2005,76030932.01,9745845.992,24115342.81,37904443.13,46456429.51,56202275.5,74820972.14,0.696071919,2.054299115,0.016042036,0.492625384,0.302183012,1020156862,231072,252200,245656.3333,621390,613370,2.275696267,1.289901478,-0.754666667,-0.698333334,-0.788,-0.266666667,0.003333333,-0.148888889,0.80344096,0.208602151,0.143870968,1,2
28,2006,127128640.5,24115342.81,37588512.25,27884523.03,47825323.69,71940666.5,93617128.91,1.517127686,1.662351222,0.305986123,0.977644208,0.569357788,727030868.5,232569,231820.5,299135,552114,586752,1.619632597,1.289901478,-0.642,-0.004333333,-0.254444445,0.273333333,-0.166666667,-0.2,0.015416288,0.295483871,0.091182796,2,2
29,2007,213206834.7,37588512.25,35892031.27,29170669.65,38093529.73,75682041.98,78344988.13,1.989099009,1.735564271,1.00114075,1.722218305,1.035721843,770863870.7,433764,333166.5,351770,535359,543736.5,1.486150615,1.289901478,0.633333333,0.707166667,0.257444444,-0.606666667,-0.941666667,-0.536666667,-0.536312092,0.260860215,0.170107527,2,2
30,2008,91936973.72,35892031.27,17861624.42,33680144.86,49940500.17,85832531.44,69090103.24,1.004194784,0.940587973,0.285691777,0.610270974,0.068705185,595624853.7,388977,411370.5,487380,412163,473761,1.424643448,1.454054054,0.781,0.432,0.499111111,-1.276666667,-1.455,-1.172222222,-0.536312092,0.254623656,0.098064516,2,2
31,2009,70045158.18,17861624.42,8241238.076,28593362.21,36259952.25,54121576.67,46349589.59,0.895965551,1.366485627,0.412927714,0.658426262,0.257907215,703042837.1,639399,514188,492430.3333,488626,450394.5,1.826153082,0.972193878,0.083,-1.173833334,-0.522222222,-1.633333333,-0.851666667,-0.993333333,-0.728904728,0.190107527,0.175913978,2,2
32,2010,103819284.9,8241238.076,5780380.92,11030383.8,23811007.05,32052245.13,29940952.73,2.241998114,2.533501158,1.243424543,1.472503788,1.175284511,1752098962,448915,544157,530028.6667,576498,532562,1.665533023,0.972193878,-2.430666667,-0.995333334,-0.635888889,-0.07,-0.918333334,-1.156666667,-0.357546731,0.091182796,0.209892473,2,2
33,2011,40153869.89,5780380.92,9477586.984,9958432.081,16134877.95,21915258.87,27919566.3,1.394299184,1.938249238,0.363391077,0.91173556,0.605535675,3028557984,501772,475343.5,522627,374842,475670,1.701230308,0.972193878,0.44,0.350616667,-0.576477778,-1.766666667,-1.816666667,-1.234444445,-0.723842994,0.164516129,0.183655914,2,2
34,2012,45680072.46,9477586.984,51768080.04,12623646.39,17930125.27,27407712.25,71887394.14,1.286090399,1.572732405,-0.453438773,0.935179877,0.510837709,2441070485,617194,559483,546588.3333,485486,430164,1.875975737,1.637066667,0.261233333,-0.67105,-0.3007,-1.866666667,-1.571666667,-1.636666667,-0.723842994,0.280860215,0.064946237,2,2
35,2013,92952134.53,51768080.04,71487962.89,25269089.21,31599773.93,83367853.97,103919495.2,1.3025028,0.585310934,-0.111531837,1.078934712,0.108821887,1988682435,520799,568996.5,596714.3333,509801,497643.5,2.596444445,3.018666667,-1.603333333,-0.7542,-0.415722222,-1.276666667,-0.976666667,-1.273333334,-0.308163971,0.183010753,0.138064516,2,2
36,2014,253317294.6,71487962.89,11915852.24,50363075.72,73072785,144560747.9,85747275.61,1.61538455,1.265113747,1.083238518,1.243186833,0.560943012,1664652831,652150,586474.5,543034.6667,382173,445987,3.454311111,2.772151899,0.094933333,0.709133333,-0.061688889,-0.676666667,0.475,-0.108888889,-0.78643558,0.26172043,0.130107527,2,2
37,2015,190493897.3,11915852.24,13524066.63,28752664.43,56325707.25,68241559.49,70467445.42,1.89088972,2.771750524,0.994469323,1.218469116,1.026566403,1107606289,456155,554152.5,484538.6667,433469,407821,3.372139522,2.772151899,1.323333333,0.46275,0.340144444,1.626666667,1.198333334,0.573333333,-0.068163982,0.223010753,0.194408602,2,2
