"","year","D.90.May","D.90.June","D.90.July","D.90.May.June","D.90.JJ","D.90.MJ","D.75.May","D.75.June","D.75.July","D.75.May.June","D.75.JJ","D.75.MJ","D.60.May","D.60.June","D.60.July","D.60.May.June","D.60.JJ","D.60.MJ","D.45.May","D.45.June","D.45.July","D.45.May.June","D.45.JJ","D.45.MJ","D.30.May","D.30.June","D.30.July","D.30.May.June","D.30.JJ","D.30.MJ","D.15.May","D.15.June","D.15.July","D.15.May.June","D.15.JJ","D.15.MJ","D.0.May","D.0.June","D.0.July","D.0.May.June","D.0.JJ","D.0.MJ","D.neg.15.May","D.neg.15.June","D.neg.15.July","D.neg.15.May.June","D.neg.15.JJ","D.neg.15.MJ","D.neg.30.May","D.neg.30.June","D.neg.30.July","D.neg.30.May.June","D.neg.30.JJ","D.neg.30.MJ","D.neg.45.May","D.neg.45.June","D.neg.45.July","D.neg.45.May.June","D.neg.45.JJ","D.neg.45.MJ","D.neg.60.May","D.neg.60.June","D.neg.60.July","D.neg.60.May.June","D.neg.60.JJ","D.neg.60.MJ","D.neg.75.May","D.neg.75.June","D.neg.75.July","D.neg.75.May.June","D.neg.75.JJ","D.neg.75.MJ","D.neg.90.May","D.neg.90.June","D.neg.90.July","D.neg.90.May.June","D.neg.90.JJ","D.neg.90.MJ"
"1",1978,-1.32351360797475,3.09648108489734,1.08358529655573,1.55909162650705,2.4255158221168,1.44216384045345,-1.21003061795523,3.30132794542742,0.65674187045982,1.73215974946824,2.41979925377156,1.46771273003994,-1.01408604099222,3.28119476217901,0.185142571209328,1.7871840480325,2.24917736518912,1.39323942258418,-0.749033176191999,3.03745357831883,-0.299073888306515,1.72041470718463,1.92527775611038,1.22381915091632,-0.432934938270148,2.58671495272559,-0.762908956577238,1.53640194716186,1.47017364962465,0.970997626570277,-0.0873328997639992,1.95969597785268,-1.17475304022388,1.24768593346427,0.914879638493829,0.652004218622923,0.264220731536625,1.19912696063984,-1.50653964555046,0.873942185299592,0.297238091909741,0.288577800664333,0.597768156628432,0.356839422710392,-1.73565806370726,0.440640721464493,-0.340659739428824,-0.0945147175121668,0.890578669704598,-0.509766132171743,-1.84649425313297,-0.0226896793451895,-0.955342172492152,-0.471166213883168,1.12269771819123,-1.34163196757474,-1.8314949106837,-0.484473816003965,-1.50491961527773,-0.815708511417016,1.27830677252884,-2.08206780153917,-1.69168221675979,-0.913241862732907,-1.95193927327938,-1.10466162191985,1.34680133282043,-2.68061415560844,-1.43658417540074,-1.27977398572014,-2.26593749553921,-1.31833386842848,1.32351360797475,-3.09648108489734,-1.08358529655573,-1.55909162650705,-2.4255158221168,-1.44216384045345
"2",1979,-1.5660917275527,1.89904361166215,0.660126972687431,0.693779145848289,1.48607139867058,0.685504021300537,-2.48409802841252,1.98227243336489,1.35301003061022,0.428752272746659,1.77251829911333,0.65602877058196,-3.23281715380211,1.93041266459389,1.95368769090171,0.134506640803975,1.93817100669649,0.581846243287025,-3.76122513264303,1.74699846288858,2.42122476367982,-0.168905396426765,1.97174056315232,0.46801185605846,-4.03331183441276,1.44452920298888,2.72375937007625,-0.460806810020387,1.87093925868467,0.322283234265672,-4.03053500003021,1.04361766510286,2.84067427662718,-0.721305001030379,1.64263653561097,0.154591542655905,-3.75308386616962,0.571585307999824,2.76400192566216,-0.932647448233025,1.3023908472206,-0.0236353071112583,-3.21986626909391,0.0606003567459816,2.49896741119242,-1.08043151311137,0.873389374894794,-0.200251449757981,-2.46722010686005,-0.454514408673275,2.06363239738882,-1.15458595586868,0.384867860014091,-0.363220787034865,-1.54643697161769,-0.938654768262023,1.48766424601696,-1.15005727377704,-0.129881763502362,-0.501437227926055,-0.520266712367511,-1.35882735659406,0.810314234760449,-1.067154089037,-0.635780159475891,-0.605481550398283,0.541358863549122,-1.6863981061426,0.077742647512601,-0.911526116684607,-1.09835118825753,-0.668263305816441,1.5660917275527,-1.89904361166215,-0.66012697268743,-0.69377914584829,-1.48607139867058,-0.685504021300537
"3",1980,0.245353544458339,3.01543942004209,1.68658528307763,2.05193128940427,2.57248804105394,1.96209210752067,0.0143892455013447,3.32250970832265,2.09975765229721,2.17185911255872,2.91492568964751,2.1541292452813,-0.217555656757214,3.40315645068793,2.36983500752633,2.14377832635918,3.05871596963406,2.19936603484291,-0.434674500535491,3.25188370492076,2.47841202333005,1.96960258997946,2.99405981105719,2.09471966375419,-0.62217099543585,2.87900045865517,2.41808935551334,1.66120169201481,2.72536342427456,1.84732160926855,-0.76726756518344,2.30991808890543,2.19297789420001,1.23959264400495,2.27093802400362,1.47403163995456,-0.860076118333382,1.58341861871692,1.81841861346426,0.733507405829859,1.66175195029937,1.00028885033012,-0.894271905361892,0.749011786385843,1.31993710929977,0.177434850125761,0.939320227357152,0.458378028611173,-0.867524539894189,-0.136438961386927,0.73150407243571,-0.390729597389453,0.152875383220618,-0.114770498252118,-0.781656810684785,-1.01259161941722,0.0932202419027917,-0.932266468553766,-0.643987665643885,-0.680097605326744,-0.642520461576167,-1.81973783197101,-0.551416394062068,-1.41027092052932,-1.39696401933469,-1.19907718451279,-0.459597404826402,-2.50287191853492,-1.15847491403027,-1.7921677398537,-2.05473958370004,-1.63634163514302,-0.24535354445834,-3.01543942004209,-1.68658528307763,-2.05193128940427,-2.57248804105394,-1.96209210752067
"4",1981,1.89793163252034,-1.12133132082721,0.337126979907043,-0.0711529022715379,-0.63517855391579,0.0292437900674575,1.03372317577253,-0.903954888258379,0.63046429457513,-0.229979909465019,-0.392481827313876,-0.0183952691272771,0.0990681929041461,-0.624975423910828,0.880836509459431,-0.373134165888228,-0.123038112787409,-0.0647807211306074,-0.842338123592727,-0.303404917244476,1.07118117187523,-0.49085994553952,0.154790445795425,-0.10675147404409,-1.72634048899632,0.0388421331317542,1.18852660763831,-0.575134431086708,0.422070291300608,-0.14144729041662,-2.49269560298737,0.378442156324715,1.22487591922394,-0.620214455609922,0.660586743957789,-0.166503707699957,-3.08917763100908,0.692251971969381,1.17775196111761,-0.62302788993617,0.854085301685457,-0.180213172463929,-3.47513730858493,0.958885959724807,1.05036615318826,-0.583383003165538,0.989379357545958,-0.181641407340833,-3.62427212151666,1.16017345395896,0.851399627731271,-0.50398152881517,1.0572488452164,-0.170691080484078,-3.5264187787599,1.28239704458309,0.594411624648806,-0.390234546144904,1.05306857127167,-0.14810843857268,-3.18824582391323,1.31722739588021,0.29691545165818,-0.249893724047942,0.977123414472866,-0.115432451333322,-2.63279918499221,1.26229087696928,-0.0208150186869678,-0.0925230576260175,0.834588911750533,-0.074889933296743,-1.89793163252034,1.12133132082721,-0.337126979907043,0.0711529022715378,0.63517855391579,-0.0292437900674575
"5",1982,0.36597854176216,2.78325192523189,1.52137695343699,1.94246118315546,2.36262693463359,1.83891588076567,-0.144182174650161,2.05641708046818,0.937006847711389,1.29099125260093,1.68328033621591,1.20394590713629,-0.644517114132384,1.18944081006046,0.288781273791284,0.55154240164556,0.889220964637403,0.486929009550246,-1.10092927740138,0.241406114091008,-0.379124266704077,-0.225493152515039,0.0345626538259796,-0.263271295348409,-1.48231492978712,-0.723080009611284,-1.02119311495603,-0.987161720976791,-0.822451044726199,-0.995530096545456,-1.76268326934911,-1.63828942560478,-1.59366934002514,-1.68155684951585,-1.6234160637449,-1.6599451668542,-1.9229276570768,-2.4418521246446,-2.05753963323465,-2.26135665766449,-2.31374796084128,-2.21123771723093,-1.9521277027629,-3.07900663674132,-2.38119200068423,-2.68704874666187,-2.84640175805563,-2.61183807142147,-1.84829347154928,-3.50633193484317,-2.54257006839302,-2.92962290413225,-3.18507797935979,-2.83444597731113,-1.61850109469895,-3.69470650607296,-2.53067618773653,-2.97254810211678,-3.30669639996082,-2.86389107399049,-1.27841054294441,-3.63129293470506,-2.34632090702594,-2.81289905931005,-3.20296892547869,-2.69816672678117,-0.851198425361528,-3.32041275083233,-2.00206773398016,-2.46155559414683,-2.8809644118816,-2.34856677607306,-0.365978541762161,-2.78325192523189,-1.52137695343699,-1.94246118315546,-2.36262693463359,-1.83891588076567
"6",1983,-0.7894901824111,-2.26306046197424,-0.284873006190173,-1.75051427777836,-1.60366464337955,-1.39011068640422,-1.28108588113102,-2.7266964943073,-0.0184603290073849,-2.22387541146338,-1.82395110587399,-1.68156022725289,-1.68537769414639,-3.00451266663233,0.249210389090121,-2.54568311098504,-1.91993831472485,-1.85841421752394,-1.974813802524,-3.07757626591831,0.499897831010775,-2.69400671343333,-1.88508490027528,-1.90862035004544,-2.12966961379372,-2.94090812861721,0.716518061868271,-2.65873821041774,-1.72176606512205,-1.8287571598556,-2.13939196032884,-2.60382196243132,0.884308770911528,-2.44228109213481,-1.4411117179837,-1.62426719138571,-2.00331828027993,-2.08928963252498,0.991835298606505,-2.05938655348323,-1.06224798881449,-1.30908609805132,-1.73072177006993,-1.43237566687644,1.03176988978678,-1.53614822450896,-0.610993814655366,-0.904692950501809,-1.34017943138262,-0.677847666642973,1.00139106805844,-0.908223932639372,-0.1181014217425,-0.438646473451385,-0.858306079197816,0.122874531875977,0.902769099918913,-0.218405680671429,0.382839387890289,0.0572930358671796,-0.317940586133541,0.915223034107344,0.742624909516384,0.486296557501819,0.857690325910358,0.549328119472614,0.244092032454074,1.64520059904187,0.531872058776003,1.15785848892438,1.27409108561992,1.00392739954363,0.7894901824111,2.26306046197424,0.284873006190173,1.75051427777836,1.60366464337955,1.39011068640422
"7",1984,-0.644802685645118,-0.00653967907807495,-1.39120631479503,-0.228544203101394,-0.46809522431706,-0.514444722370321,-0.882610553133415,-0.651471314597869,-0.382957479556212,-0.731867571479798,-0.561966702917317,-0.646070007892031,-1.06026997000857,-1.25200625663507,0.651389275047205,-1.1853153743302,-0.617541079407645,-0.733666690057069,-1.16567374060662,-1.76721904132076,1.64134492702783,-1.55798589324627,-0.631031051871228,-0.771265199736249,-1.19163877214926,-2.16199876880798,2.51944563468225,-1.82448224823104,-0.601517300977908,-0.75630326062941,-1.13639559064611,-2.40944185307284,3.22585028591384,-1.96664315309833,-0.531011140077283,-0.68980050416091,-1.00370892762294,-2.49268545684172,3.71241857113006,-1.97478057711345,-0.424317447517792,-0.576288983283076,-0.802621159889691,-2.40605666608432,3.94599166578553,-1.84833996827749,-0.2887072221277,-0.423504320557074,-0.546836086504142,-2.15545908972991,3.91065194947728,-1.59593804512964,-0.133422076660848,-0.241858538259089,-0.253785037512697,-1.75797053847498,3.60880776547005,-1.23477558161853,0.0309555628400336,-0.0437304962688792,0.0565610423856345,-1.24067920020665,3.06102929608286,-0.789465202783246,0.193223631889853,0.157377706773993,0.363052580716927,-0.63883762476356,2.30464673875771,-0.290354075031216,0.342323829743529,0.347760879179174,0.644802685645118,0.00653967907807464,1.39120631479503,0.228544203101394,0.46809522431706,0.514444722370321
"8",1985,1.38441601899831,-0.568997999839485,1.36254362365386,0.110450354538878,0.0748492079916307,0.418342142026169,1.02543752992022,-0.481831112842583,1.40626110448964,0.0424362411618703,0.147532959601491,0.377803010832633,0.596577167793711,-0.361828231769022,1.35414421501081,-0.0284698319211148,0.210162583824254,0.311517228799849,0.127061057572444,-0.217167354649827,1.20974463510811,-0.0974357330072976,0.258469975269485,0.224002062430917,-0.351114053744058,-0.0577068811972683,0.982902957520327,-0.159761549909195,0.28916306504193,0.121221525688228,-0.805361322541312,0.105686220843754,0.689078067701475,-0.211199881203226,0.300150169796327,0.0101799422979302,-1.20472454812989,0.261876981589012,0.348293646324115,-0.248245289617562,0.290682536500713,-0.101555387336822,-1.52198778666486,0.400221258811153,-0.016226411467767,-0.2683731917892,0.26140536871818,-0.206369885152782,-1.73553007274237,0.511291118642216,-0.379640666133534,-0.270211904448073,0.2143138570503,-0.297120616337941,-1.83079885246153,0.587517333686337,-0.717183036788165,-0.253636122365096,0.152617210194836,-0.367623068534703,-1.8013017159236,0.623705213358034,-1.00585056868669,-0.219775457696448,0.0805199526764592,-0.413072616136671,-1.64904884423731,0.61738861346098,-1.22597104657587,-0.170937458781903,0.00293539344869499,-0.430371947583699,-1.38441601899831,0.568997999839485,-1.36254362365386,-0.110450354538878,-0.0748492079916307,-0.418342142026169
"9",1986,-2.77835732545645,0.577126974542625,0.963126965914853,-0.589997999370098,0.705793638333368,-0.208082024300028,-2.87293789331205,-0.00272448613932297,0.687569818260658,-1.00105958428636,0.227373615327338,-0.585822845955124,-2.77173249149277,-0.582390277593303,0.365155923754849,-1.34390061286268,-0.266541543810586,-0.923640808776405,-2.48163810088278,-1.12236713407474,0.0178572564938423,-1.59515703557319,-0.742292337218545,-1.19851417686818,-2.0224241747985,-1.58585652516837,-0.330658353286708,-1.73770614243102,-1.16745713454115,-1.39171078444472,-1.42538538341567,-1.94127241482359,-0.656640142729534,-1.76183344737736,-1.51306165745891,-1.49006460197216,-0.731208933713788,-2.16439379751294,-0.937872991594486,-1.66589471445237,-1.75555352887346,-1.48687297932338,0.0127981964407941,-2.24001531973165,-1.15519134599067,-1.45642800975863,-1.87840732848466,-1.38235342030749,0.755933150657955,-2.16298349971099,-1.29378531920156,-1.14770814306092,-1.87325077287452,-1.18362876014469,1.44755250989637,-1.93854792868427,-1.34420996099019,-0.760773863091003,-1.74043527278624,-0.904241756017033,2.04052355777899,-1.58200351991964,-1.30302891534933,-0.321994101589683,-1.48901198506287,-0.563232170546975,2.49443629732358,-1.11764818565691,-1.17304860248452,0.138729025814561,-1.13611499126611,-0.18383924343931,2.77835732545645,-0.577126974542625,-0.963126965914853,0.589997999370098,-0.705793638333368,0.208082024300028
"10",1987,-0.852185493509751,-1.25710215112582,-0.234289673987466,-1.11626157456371,-0.916164658746372,-0.899383238356438,-0.402687845115827,-1.15235524863797,-0.26403959165656,-0.89160136915201,-0.85625002964417,-0.73728289927608,0.0742523144496128,-0.969077240312536,-0.275795647500317,-0.606180003873528,-0.737983376041796,-0.524937949027656,0.546132301493062,-0.719758219535659,-0.268756685740784,-0.279448473090886,-0.569424374937367,-0.276819345053976,0.980794274716061,-0.421388865554123,-0.243402399989439,0.0663270093224627,-0.362060043699228,-0.00983596018046407,1.34861673895633,-0.0943025567631,-0.201460642920299,0.407582415661051,-0.1300219188155,0.257817729124653,1.62453320113127,0.239210315428985,-0.145789675965595,0.721061753934128,0.110876984964125,0.507901566253868,1.78974041031716,0.556421399938321,-0.0801833835226659,0.985401925287483,0.344219805451326,0.723372750989906,1.83297976822581,0.835713285571702,-0.00911272600197388,1.18258858388617,0.554104615047143,0.889547278175974,1.75130458407216,1.05805269187487,0.0625789487362609,1.29918378481306,0.72622811082867,0.995100628400733,1.55028088668166,1.20828755574152,0.130005971534722,1.32724175780766,0.848860361005921,1.03283951528152,1.2436081088241,1.27617961947398,0.188573302218118,1.26485039837837,0.913644180388693,1.00019209604388,0.852185493509751,1.25710215112582,0.234289673987466,1.11626157456371,0.916164658746372,0.899383238356438
