"","lag","log(R/S)","x1","fit","se.fit"
"1","Lag 2",-1.12859724565157,79059524.6040307,-0.213965488745279,0.266287561964054
"2","Lag 2",-0.197260082727847,23347775.9865334,1.43731166539131,0.24278461043176
"3","Lag 2",-0.946483600203675,58266263.1919942,0.368195715970348,0.235042522454491
"4","Lag 2",0.85830730311864,55226850.5341779,0.457450448149455,0.232206764907334
"5","Lag 2",-1.4516140787578,404970393.195223,-1.38633085062228,0.580263319651587
"6","Lag 2",-1.59720487728489,113737935.254468,-1.0509335003113,0.336668287185152
"7","Lag 2",-0.317371257505693,72520697.3261809,-0.0366569094028568,0.254697023878469
"8","Lag 2",1.61602965769781,20473912.7348603,1.52804939171895,0.247490934052892
"9","Lag 2",3.12021224681381,6372145.96691798,1.97461924864559,0.277834309179865
"10","Lag 2",3.28197690869376,9941374.63094721,1.86150615504161,0.269135220337012
"11","Lag 2",2.05866270084188,15848997.5574098,1.67435949095547,0.256193058549889
"12","Lag 2",0.834902159270303,43520299.2062181,0.809336859157092,0.22707968858644
"13","Lag 2",-0.899128846375588,128761060.659092,-1.3532386542082,0.365655455168072
"14","Lag 2",-1.99094417064936,195045854.722321,-2.22738490750657,0.449339423086976
"15","Lag 2",-1.03613225755073,110919151.422448,-0.989953496974607,0.330956630892125
"16","Lag 2",-0.828061799756275,46510175.8463052,0.718346376542886,0.227446794851088
"17","Lag 2",-0.507511795174303,45589286.0041211,0.746296765810448,0.227261520940666
"18","Lag 2",0.0180431061359466,58504936.3810873,0.361227567686146,0.235288529014965
"19","Lag 2",0.976582769780459,24233064.5335102,1.40939761217896,0.24144932196216
"20","Lag 2",2.35731944392564,10340943.0259429,1.84884422640601,0.268200596175236
"21","Lag 2",2.51511831164901,7073452.91491944,1.95239344204664,0.276076771075553
"22","Lag 2",3.08482899472006,11355299.4838168,1.8167017800363,0.265865027991712
"23","Lag 2",2.40771516006354,14240433.1672069,1.72529910395982,0.259524390368171
"24","Lag 2",2.01982799896201,16336903.6129355,1.65891267930548,0.25521267085746
"25","Lag 2",2.66610546616027,13930597.5410474,1.73511291802263,0.26018318418208
